2025-12-13 15:10:09 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 40.00
2025-12-13 15:10:12 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 35.00
2025-12-13 15:10:12 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 35.00
2025-12-13 15:10:15 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 35.00 | 70.00
2025-12-13 15:10:21 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 65.00
2025-12-13 15:10:21 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 65.00
2025-12-13 15:10:23 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 60.00
2025-12-13 15:10:23 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 60.00
2025-12-13 15:10:26 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 55.00
2025-12-13 15:10:26 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 55.00
2025-12-13 15:10:28 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 50.00
2025-12-13 15:10:28 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 50.00
2025-12-13 15:10:31 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 45.00
2025-12-13 15:10:31 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 45.00
2025-12-13 15:10:34 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 40.00
2025-12-13 15:10:34 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 40.00
2025-12-13 15:10:36 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 35.00
2025-12-13 15:10:36 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 35.00
2025-12-13 15:10:38 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 30.00
2025-12-13 15:10:38 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 30.00
2025-12-13 15:10:43 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5.00 | 25.00
2025-12-13 15:10:43 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 25.00
2025-12-13 15:11:58 | mjherms | ID202511271837 | SYSTEM | CASH_IN | 100.00 | 125.00
2025-12-13 15:12:03 | mjherms | ID202511271837 | SYSTEM | CASH_IN | 1000.00 | 1125.00
2025-12-13 15:12:11 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -100.00 | 1025.00
2025-12-13 15:12:11 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 1025.00
2025-12-13 15:12:24 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 400.00 | 1425.00
2025-12-13 15:43:38 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 200.00 | 1625.00
2025-12-13 15:43:57 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -500.00 | 1125.00
2025-12-13 15:43:57 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 1125.00
2025-12-13 15:44:03 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 2500.00 | 3625.00
2025-12-13 15:46:07 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 2625.00
2025-12-13 15:46:07 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 2625.00
2025-12-13 15:46:10 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -100.00 | 2525.00
2025-12-13 15:46:10 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 2525.00
2025-12-13 15:46:13 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -100.00 | 2425.00
2025-12-13 15:46:13 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 2425.00
2025-12-13 15:46:17 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 1425.00
2025-12-13 15:46:17 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 1425.00
2025-12-13 15:46:21 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 2000.00 | 3425.00
2025-12-13 15:54:36 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -100.00 | 3325.00
2025-12-13 15:54:36 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 3325.00
2025-12-13 16:00:51 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 2325.00
2025-12-13 16:00:51 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 2325.00
2025-12-13 16:01:42 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 1325.00
2025-12-13 16:01:42 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 1325.00
2025-12-13 16:03:27 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 1000.00 | 2325.00
2025-12-13 16:20:43 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 1325.00
2025-12-13 16:20:43 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 1325.00
2025-12-13 16:20:52 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 1500.00 | 2825.00
2025-12-13 16:21:18 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 17500.00 | 20325.00
2025-12-13 16:22:06 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -20000.00 | 325.00
2025-12-13 16:22:06 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 325.00
2025-12-13 16:22:31 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -325.00 | 0.00
2025-12-13 16:22:31 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 0.00
2025-12-13 16:22:47 | mjherms | ID202511271837 | SYSTEM | CASH_IN | 10000.00 | 10000.00
2025-12-13 16:25:37 | Gian | ID202512011709 | Moses Bonanza Slot Machine | SPIN_RESULT | 1800.00 | 4160.00
